agent_name	source_repo	file_path	file_size	line_count
mcp-developer	rohitg00-toolkit	sources/rohitg00-toolkit/agents/developer-experience/mcp-developer.md	3770	40
monorepo-tooling	rohitg00-toolkit	sources/rohitg00-toolkit/agents/developer-experience/monorepo-tooling.md	5148	40
refactoring-specialist	rohitg00-toolkit	sources/rohitg00-toolkit/agents/developer-experience/refactoring-specialist.md	3670	40
testing-infrastructure	rohitg00-toolkit	sources/rohitg00-toolkit/agents/developer-experience/testing-infrastructure.md	5403	40
tooling-engineer	rohitg00-toolkit	sources/rohitg00-toolkit/agents/developer-experience/tooling-engineer.md	3798	40
vscode-extension	rohitg00-toolkit	sources/rohitg00-toolkit/agents/developer-experience/vscode-extension.md	5178	40
cloud-architect	rohitg00-toolkit	sources/rohitg00-toolkit/agents/infrastructure/cloud-architect.md	5057	87
database-admin	rohitg00-toolkit	sources/rohitg00-toolkit/agents/infrastructure/database-admin.md	5354	87
deployment-engineer	rohitg00-toolkit	sources/rohitg00-toolkit/agents/infrastructure/deployment-engineer.md	5115	72
devops-engineer	rohitg00-toolkit	sources/rohitg00-toolkit/agents/infrastructure/devops-engineer.md	4906	84
incident-responder	rohitg00-toolkit	sources/rohitg00-toolkit/agents/infrastructure/incident-responder.md	5058	67
kubernetes-specialist	rohitg00-toolkit	sources/rohitg00-toolkit/agents/infrastructure/kubernetes-specialist.md	4932	66
network-engineer	rohitg00-toolkit	sources/rohitg00-toolkit/agents/infrastructure/network-engineer.md	4700	66
platform-engineer	rohitg00-toolkit	sources/rohitg00-toolkit/agents/infrastructure/platform-engineer.md	5205	87
security-engineer	rohitg00-toolkit	sources/rohitg00-toolkit/agents/infrastructure/security-engineer.md	4819	66
sre-engineer	rohitg00-toolkit	sources/rohitg00-toolkit/agents/infrastructure/sre-engineer.md	4692	64
terraform-engineer	rohitg00-toolkit	sources/rohitg00-toolkit/agents/infrastructure/terraform-engineer.md	4780	65
angular-architect	rohitg00-toolkit	sources/rohitg00-toolkit/agents/language-experts/angular-architect.md	5012	92
clojure-developer	rohitg00-toolkit	sources/rohitg00-toolkit/agents/language-experts/clojure-developer.md	5041	70
csharp-developer	rohitg00-toolkit	sources/rohitg00-toolkit/agents/language-experts/csharp-developer.md	4764	92
django-developer	rohitg00-toolkit	sources/rohitg00-toolkit/agents/language-experts/django-developer.md	4157	85
elixir-expert	rohitg00-toolkit	sources/rohitg00-toolkit/agents/language-experts/elixir-expert.md	4954	89
flutter-expert	rohitg00-toolkit	sources/rohitg00-toolkit/agents/language-experts/flutter-expert.md	4566	88
golang-developer	rohitg00-toolkit	sources/rohitg00-toolkit/agents/language-experts/golang-developer.md	4985	98
haskell-developer	rohitg00-toolkit	sources/rohitg00-toolkit/agents/language-experts/haskell-developer.md	4693	66
java-architect	rohitg00-toolkit	sources/rohitg00-toolkit/agents/language-experts/java-architect.md	4579	78
kotlin-specialist	rohitg00-toolkit	sources/rohitg00-toolkit/agents/language-experts/kotlin-specialist.md	4318	74
lua-developer	rohitg00-toolkit	sources/rohitg00-toolkit/agents/language-experts/lua-developer.md	4723	64
nextjs-developer	rohitg00-toolkit	sources/rohitg00-toolkit/agents/language-experts/nextjs-developer.md	3883	75
nim-developer	rohitg00-toolkit	sources/rohitg00-toolkit/agents/language-experts/nim-developer.md	5110	73
ocaml-developer	rohitg00-toolkit	sources/rohitg00-toolkit/agents/language-experts/ocaml-developer.md	5176	72
php-developer	rohitg00-toolkit	sources/rohitg00-toolkit/agents/language-experts/php-developer.md	4635	84
python-engineer	rohitg00-toolkit	sources/rohitg00-toolkit/agents/language-experts/python-engineer.md	4596	103
rails-expert	rohitg00-toolkit	sources/rohitg00-toolkit/agents/language-experts/rails-expert.md	4394	77
react-specialist	rohitg00-toolkit	sources/rohitg00-toolkit/agents/language-experts/react-specialist.md	4259	81
rust-systems	rohitg00-toolkit	sources/rohitg00-toolkit/agents/language-experts/rust-systems.md	4884	85
scala-developer	rohitg00-toolkit	sources/rohitg00-toolkit/agents/language-experts/scala-developer.md	4434	64
svelte-developer	rohitg00-toolkit	sources/rohitg00-toolkit/agents/language-experts/svelte-developer.md	5205	99
swift-developer	rohitg00-toolkit	sources/rohitg00-toolkit/agents/language-experts/swift-developer.md	4488	64
typescript-specialist	rohitg00-toolkit	sources/rohitg00-toolkit/agents/language-experts/typescript-specialist.md	4646	86
vue-specialist	rohitg00-toolkit	sources/rohitg00-toolkit/agents/language-experts/vue-specialist.md	5047	104
zig-developer	rohitg00-toolkit	sources/rohitg00-toolkit/agents/language-experts/zig-developer.md	5162	71
agent-installer	rohitg00-toolkit	sources/rohitg00-toolkit/agents/orchestration/agent-installer.md	4852	65
context-manager	rohitg00-toolkit	sources/rohitg00-toolkit/agents/orchestration/context-manager.md	5396	103
error-coordinator	rohitg00-toolkit	sources/rohitg00-toolkit/agents/orchestration/error-coordinator.md	5641	65
knowledge-synthesizer	rohitg00-toolkit	sources/rohitg00-toolkit/agents/orchestration/knowledge-synthesizer.md	5016	64
multi-agent-coordinator	rohitg00-toolkit	sources/rohitg00-toolkit/agents/orchestration/multi-agent-coordinator.md	5872	73
performance-monitor	rohitg00-toolkit	sources/rohitg00-toolkit/agents/orchestration/performance-monitor.md	5037	65
task-coordinator	rohitg00-toolkit	sources/rohitg00-toolkit/agents/orchestration/task-coordinator.md	5022	87
workflow-director	rohitg00-toolkit	sources/rohitg00-toolkit/agents/orchestration/workflow-director.md	6273	123
accessibility-specialist	rohitg00-toolkit	sources/rohitg00-toolkit/agents/quality-assurance/accessibility-specialist.md	5882	99
chaos-engineer	rohitg00-toolkit	sources/rohitg00-toolkit/agents/quality-assurance/chaos-engineer.md	4929	64
code-reviewer	rohitg00-toolkit	sources/rohitg00-toolkit/agents/quality-assurance/code-reviewer.md	4707	90
compliance-auditor	rohitg00-toolkit	sources/rohitg00-toolkit/agents/quality-assurance/compliance-auditor.md	5184	66
error-detective	rohitg00-toolkit	sources/rohitg00-toolkit/agents/quality-assurance/error-detective.md	5367	65
penetration-tester	rohitg00-toolkit	sources/rohitg00-toolkit/agents/quality-assurance/penetration-tester.md	5191	61
